Zelena	Žuta	Tirkizna	Magenta	Naran?asta	Plava	Modra	Indigo	klasa
0,03	0,00	0,03	0,10	0,00	0,46	0,22	0,16	Plava
0,15	0,15	0,59	0,02	0,00	0,00	0,05	0,03	Tirkizna
0,01	0,33	0,00	0,00	0,65	0,00	0,00	0,00	Naran?asta
0,21	0,00	0,41	0,05	0,00	0,01	0,16	0,16	Tirkizna
0,01	0,13	0,00	0,00	0,86	0,00	0,00	0,00	Naran?asta
0,10	0,01	0,15	0,14	0,00	0,13	0,41	0,07	Modra
0,09	0,90	0,00	0,00	0,01	0,00	0,00	0,00	Žuta
0,10	0,89	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,52	0,35	0,11	0,01	0,00	0,00	0,00	0,01	Zelena
0,01	0,14	0,00	0,00	0,85	0,00	0,00	0,00	Naran?asta
0,03	0,00	0,00	0,93	0,00	0,00	0,01	0,03	Magenta
0,01	0,10	0,00	0,00	0,89	0,00	0,00	0,00	Naran?asta
0,03	0,00	0,03	0,10	0,00	0,41	0,24	0,20	Plava
0,05	0,00	0,00	0,93	0,00	0,00	0,01	0,01	Magenta
0,02	0,00	0,00	0,15	0,00	0,01	0,29	0,54	Indigo
0,17	0,03	0,57	0,04	0,00	0,00	0,11	0,08	Tirkizna
0,07	0,93	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,02	0,47	0,00	0,00	0,51	0,00	0,00	0,00	Naran?asta
0,62	0,17	0,18	0,01	0,00	0,00	0,00	0,02	Zelena
0,01	0,19	0,00	0,00	0,80	0,00	0,00	0,00	Naran?asta
0,02	0,00	0,01	0,05	0,00	0,06	0,39	0,48	Indigo
0,08	0,00	0,00	0,75	0,00	0,02	0,09	0,05	Magenta
0,11	0,89	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,02	0,22	0,00	0,00	0,76	0,00	0,00	0,00	Naran?asta
0,01	0,00	0,00	0,07	0,00	0,02	0,36	0,54	Indigo
0,01	0,36	0,00	0,00	0,63	0,00	0,00	0,00	Naran?asta
0,03	0,00	0,01	0,17	0,00	0,21	0,29	0,29	Indigo
0,02	0,00	0,02	0,05	0,00	0,13	0,38	0,40	Indigo
0,01	0,00	0,00	0,03	0,00	0,02	0,41	0,53	Indigo
0,06	0,00	0,07	0,14	0,00	0,45	0,22	0,07	Plava
0,65	0,25	0,09	0,01	0,00	0,00	0,00	0,01	Zelena
0,04	0,79	0,00	0,00	0,17	0,00	0,00	0,00	Žuta
0,18	0,82	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,01	0,09	0,00	0,00	0,90	0,00	0,00	0,00	Naran?asta
0,01	0,00	0,01	0,04	0,00	0,06	0,40	0,48	Indigo
0,80	0,05	0,12	0,01	0,00	0,00	0,00	0,02	Zelena
0,01	0,09	0,00	0,00	0,90	0,00	0,00	0,00	Naran?asta
0,02	0,00	0,01	0,11	0,00	0,05	0,35	0,46	Indigo
0,03	0,00	0,02	0,08	0,00	0,24	0,32	0,31	Modra
0,01	0,11	0,00	0,00	0,88	0,00	0,00	0,00	Naran?asta
0,02	0,00	0,00	0,37	0,00	0,00	0,13	0,48	Indigo
0,09	0,01	0,26	0,10	0,00	0,19	0,26	0,09	Tirkizna
0,04	0,00	0,03	0,11	0,00	0,51	0,19	0,12	Plava
0,09	0,00	0,00	0,79	0,00	0,01	0,08	0,03	Magenta
0,05	0,00	0,04	0,14	0,00	0,52	0,18	0,08	Plava
0,11	0,87	0,02	0,00	0,00	0,00	0,00	0,00	Žuta
0,01	0,21	0,00	0,00	0,78	0,00	0,00	0,00	Naran?asta
0,08	0,00	0,21	0,09	0,00	0,27	0,23	0,10	Plava
0,10	0,00	0,09	0,18	0,00	0,19	0,38	0,06	Modra
0,39	0,44	0,16	0,01	0,00	0,00	0,00	0,01	Žuta
0,06	0,00	0,00	0,79	0,00	0,00	0,07	0,08	Magenta
0,04	0,00	0,03	0,11	0,00	0,52	0,18	0,11	Plava
0,04	0,87	0,00	0,00	0,09	0,00	0,00	0,00	Žuta
0,04	0,00	0,04	0,11	0,00	0,53	0,18	0,10	Plava
0,12	0,88	0,00	0,00	0,01	0,00	0,00	0,00	Žuta
0,01	0,00	0,00	0,02	0,00	0,02	0,41	0,53	Indigo
0,07	0,00	0,14	0,09	0,00	0,38	0,22	0,10	Plava
0,04	0,96	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,09	0,00	0,26	0,09	0,00	0,21	0,23	0,12	Tirkizna
0,03	0,00	0,00	0,76	0,00	0,00	0,04	0,17	Magenta
0,16	0,09	0,60	0,03	0,00	0,00	0,07	0,05	Tirkizna
0,09	0,00	0,26	0,08	0,00	0,20	0,23	0,13	Tirkizna
0,10	0,01	0,23	0,10	0,00	0,05	0,44	0,06	Modra
0,01	0,11	0,00	0,00	0,88	0,00	0,00	0,00	Naran?asta
0,02	0,00	0,00	0,69	0,00	0,00	0,02	0,28	Magenta
0,06	0,00	0,00	0,79	0,00	0,00	0,06	0,08	Magenta
0,13	0,10	0,61	0,02	0,00	0,00	0,09	0,04	Tirkizna
0,15	0,07	0,60	0,03	0,00	0,00	0,09	0,05	Tirkizna
0,03	0,52	0,00	0,00	0,45	0,00	0,00	0,00	Žuta
